urun_id,urun_puan,ekran_ekran_boyutu,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,özelli̇kler_suya_dayanıklılık,ekran_ekran_teknolojisi_Dynamic AMOLED,ekran_ekran_teknolojisi_IPS LCD,ekran_ekran_teknolojisi_OLED,ekran_ekran_teknolojisi_PLS,ekran_ekran_teknolojisi_Super AMOLED,ekran_ekran_teknolojisi_TFT LCD,ekran_ekran_çözünürlüğü_standardı_FHD+,ekran_ekran_çözünürlüğü_standardı_HD,ekran_ekran_çözünürlüğü_standardı_HD+,ekran_ekran_çözünürlüğü_standardı_QHD,ekran_ekran_çözünürlüğü_standardı_QHD+,ekran_ekran_çözünürlüğü_standardı_SD,kamera_video_kayıt_çözünürlüğü_1440p (Quad HD) 2K,kamera_video_kayıt_çözünürlüğü_2160p (Ultra HD) 4K,kamera_video_kayıt_çözünürlüğü_4320p (Ultra HD) 8K,kamera_video_kayıt_çözünürlüğü_480p,kamera_video_kayıt_çözünürlüğü_720p (HD),kamera_video_kayıt_çözünürlüğü_Unknown,tasarim_gövde_malzemesi_kapak_Cam,tasarim_gövde_malzemesi_kapak_Cam | Kauçuk/Plastik (Deri Görünümlü),tasarim_gövde_malzemesi_kapak_Cam | Plastik (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Fiberglass,tasarim_gövde_malzemesi_kapak_Fiberglass | Kauçuk/Plastik (Deri Görünümlü),tasarim_gövde_malzemesi_kapak_Kauçuk/Plastik (Deri Görünümlü),tasarim_gövde_malzemesi_kapak_Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Metal,tasarim_gövde_malzemesi_kapak_Plastik,tasarim_gövde_malzemesi_kapak_Plastik (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Plastik (Metalik Görünümlü),tasarim_gövde_malzemesi_kapak_PoliKarbonat (Metalik Görünümlü),tasarim_gövde_malzemesi_kapak_Polikarbonat,tasarim_gövde_malzemesi_kapak_Polimer (Cam Görünümlü),tasarim_gövde_malzemesi_kapak_Unknown,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi_BlackBerry OS,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi_iOS
179,51.0,6.68,120.0,6500.0,1,44.0,0,50.0,0.0,30.0,8.0,8.0,6.0,336.6,8.0,256.0,8.09,208.0,0.0,1,1,1,1,5.0,0.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
180,41.0,6.74,90.0,5500.0,1,15.0,0,13.0,0.0,30.0,5.0,8.0,12.0,248.1,4.0,128.0,8.19,199.0,0.0,1,1,1,1,5.4,0.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
181,60.0,6.67,120.0,5110.0,1,45.0,0,108.0,1.0,30.0,20.0,8.0,6.0,450.1,8.0,256.0,7.99,190.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
182,38.0,6.74,90.0,5000.0,0,30.0,0,32.0,0.0,30.0,5.0,8.0,12.0,261.2,6.0,128.0,7.84,187.0,0.0,1,1,1,1,5.0,0.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
183,50.0,6.67,120.0,5000.0,1,33.0,0,50.0,0.0,30.0,24.0,8.0,6.0,401.7,8.0,256.0,7.9,190.0,0.0,1,1,1,1,5.0,1.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
184,67.0,6.4,120.0,4500.0,1,25.0,1,50.0,1.0,24.0,10.0,8.0,4.0,1257500.0,8.0,128.0,8.2,209.0,0.0,1,1,1,1,5.3,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
185,70.0,6.55,120.0,6000.0,1,80.0,0,200.0,1.0,30.0,50.0,8.0,4.0,848.1,12.0,512.0,7.3,184.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
186,56.0,6.78,120.0,5000.0,1,70.0,0,50.0,1.0,30.0,50.0,8.0,6.0,435.5,8.0,256.0,7.7,190.0,0.0,1,1,1,1,5.3,1.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
187,67.0,6.67,120.0,5000.0,1,67.0,0,64.0,1.0,30.0,16.0,8.0,4.0,1426100.0,8.0,256.0,8.35,190.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
188,80.0,6.1,120.0,3274.0,1,20.0,1,48.0,1.0,60.0,12.0,6.0,3.0,1791300.0,8.0,256.0,8.25,187.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
189,52.0,6.7,120.0,5000.0,1,33.0,0,50.0,0.0,30.0,16.0,8.0,6.0,415.2,8.0,256.0,7.96,188.0,0.0,1,1,1,1,5.2,1.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
190,70.0,6.1,120.0,3095.0,1,20.0,1,12.0,1.0,60.0,12.0,6.0,5.0,1484600.0,6.0,128.0,7.65,204.0,0.0,1,1,1,1,5.0,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
191,64.0,6.67,120.0,5800.0,1,45.0,0,50.0,1.0,30.0,32.0,8.0,4.0,638.9,12.0,256.0,7.76,192.0,0.0,1,1,1,1,5.1,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
192,48.0,6.79,90.0,5030.0,1,33.0,0,108.0,0.0,30.0,13.0,8.0,12.0,275.2,8.0,256.0,8.3,205.0,0.0,1,1,1,1,5.4,1.0,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
193,79.0,6.7,120.0,4323.0,1,20.0,1,48.0,1.0,60.0,12.0,6.0,4.0,1761400.0,6.0,256.0,7.85,240.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
194,44.0,4.7,60.0,1821.0,1,18.0,1,12.0,1.0,60.0,7.0,6.0,7.0,923.0,3.0,64.0,7.3,148.0,0.0,1,1,1,1,5.0,1.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
197,56.0,6.78,144.0,5160.0,1,45.0,0,50.0,0.0,30.0,13.0,8.0,6.0,449.9,8.0,256.0,5.95,155.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
198,76.0,6.9,120.0,4300.0,1,25.0,1,50.0,1.0,60.0,10.0,10.0,3.0,1943900.0,12.0,256.0,6.5,188.0,0.0,1,1,1,1,5.4,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
199,54.0,6.67,120.0,5000.0,1,45.0,0,50.0,0.0,30.0,32.0,8.0,6.0,374.0,8.0,256.0,7.76,187.0,0.0,1,1,1,1,5.0,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
200,45.0,6.66,60.0,5000.0,1,22.5,0,50.0,0.0,30.0,8.0,8.0,12.0,235.6,8.0,256.0,8.3,207.0,0.0,1,1,1,1,5.2,1.0,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
201,44.0,6.74,90.0,5000.0,1,18.0,0,50.0,0.0,30.0,8.0,8.0,12.0,279.4,8.0,256.0,8.09,192.0,0.0,1,1,1,1,5.3,0.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
202,73.0,6.67,120.0,4815.0,1,88.0,1,48.0,1.0,60.0,13.0,8.0,4.0,1248100.0,8.0,256.0,8.3,200.0,0.0,1,1,1,1,5.2,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
203,56.0,6.7,120.0,5000.0,1,25.0,0,64.0,0.0,30.0,32.0,8.0,6.0,684.45,8.0,128.0,7.4,173.0,0.0,1,1,1,1,5.0,1.0,0.0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
204,72.0,6.78,144.0,5200.0,1,100.0,1,50.0,1.0,60.0,32.0,8.0,4.0,1369400.0,12.0,256.0,7.99,209.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
205,46.0,6.67,90.0,5000.0,1,45.0,0,50.0,0.0,30.0,8.0,8.0,6.0,334.9,8.0,128.0,7.68,186.0,0.0,1,1,1,1,5.0,1.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
206,69.0,6.4,120.0,4500.0,1,25.0,1,50.0,1.0,24.0,10.0,8.0,4.0,1257500.0,8.0,256.0,8.2,209.0,0.0,1,1,1,1,5.3,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
207,61.0,6.4,120.0,5000.0,1,25.0,0,50.0,1.0,30.0,32.0,8.0,5.0,623.5,8.0,128.0,8.2,202.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
208,88.0,6.67,120.0,5300.0,1,120.0,1,50.0,1.0,24.0,32.0,8.0,3.0,2634300.0,16.0,512.0,8.39,212.0,0.0,1,1,1,1,6.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
209,67.0,6.77,120.0,5000.0,1,50.0,0,50.0,1.0,30.0,50.0,8.0,4.0,774.5,12.0,256.0,8.39,211.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
211,46.0,6.6,120.0,4500.0,1,22.5,0,50.0,0.0,30.0,8.0,8.0,6.0,447.7,8.0,256.0,7.98,189.0,0.0,1,1,1,1,5.2,1.0,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
212,69.0,6.67,120.0,5000.0,1,67.0,0,64.0,1.0,30.0,16.0,8.0,4.0,1495700.0,12.0,512.0,8.35,190.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
213,58.0,6.78,120.0,5800.0,1,35.0,0,108.0,0.0,30.0,16.0,8.0,4.0,520.1,12.0,256.0,7.98,185.0,0.0,1,1,1,1,5.1,1.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
214,63.0,6.78,144.0,5000.0,1,68.0,0,108.0,1.0,60.0,50.0,8.0,6.0,774.7,8.0,256.0,7.9,185.0,0.0,1,1,1,1,5.1,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
215,60.0,6.6,120.0,5000.0,1,25.0,0,48.0,1.0,30.0,13.0,8.0,6.0,560.1,8.0,128.0,8.2,199.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
216,52.0,6.43,90.0,5000.0,1,33.0,0,108.0,0.0,30.0,16.0,8.0,12.0,398.2,8.0,256.0,8.09,176.0,0.0,1,1,1,1,5.2,0.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
217,52.0,6.67,120.0,5160.0,1,33.0,0,64.0,0.0,30.0,20.0,8.0,8.0,403.8,6.0,128.0,9.4,215.0,0.0,1,1,1,1,5.1,1.0,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
218,46.0,6.53,60.0,4500.0,1,18.0,0,64.0,0.0,30.0,20.0,8.0,12.0,439.2,6.0,128.0,8.8,199.0,0.0,1,1,1,1,5.0,1.0,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
220,61.0,6.6,120.0,5000.0,1,25.0,0,48.0,1.0,30.0,13.0,8.0,6.0,560.1,8.0,256.0,8.2,199.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
221,52.0,4.7,60.0,2018.0,1,20.0,1,12.0,1.0,60.0,7.0,6.0,5.0,1354000.0,4.0,128.0,7.3,144.0,0.0,1,1,1,1,5.0,1.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
222,85.0,6.5,120.0,4400.0,1,25.0,1,200.0,1.0,30.0,10.0,8.0,3.0,2123500.0,16.0,1.0,8.9,215.0,0.0,1,1,1,1,5.4,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
224,58.0,6.78,120.0,5200.0,1,45.0,0,50.0,1.0,30.0,32.0,8.0,6.0,432.4,8.0,256.0,7.34,177.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
225,49.0,6.72,90.0,5828.0,1,45.0,0,50.0,0.0,30.0,8.0,8.0,12.0,279.1,8.0,128.0,7.99,196.0,0.0,1,1,1,1,5.0,1.0,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
226,85.0,6.78,120.0,6500.0,1,120.0,0,50.0,1.0,24.0,16.0,8.0,3.0,2802400.0,12.0,512.0,8.55,222.8,0.0,1,1,1,1,5.4,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
227,84.0,6.67,144.0,5000.0,1,120.0,1,50.0,1.0,30.0,32.0,8.0,4.0,2017000.0,12.0,1.0,8.39,209.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
229,63.0,6.67,120.0,5000.0,1,120.0,0,108.0,0.0,30.0,16.0,8.0,5.0,905.6,8.0,256.0,8.8,204.0,0.0,1,1,1,1,5.2,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
231,83.0,6.83,120.0,6200.0,1,80.0,1,50.0,1.0,60.0,50.0,8.0,4.0,1581700.0,12.0,512.0,7.58,201.0,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
232,52.0,6.7,90.0,5000.0,1,25.0,0,50.0,0.0,30.0,13.0,8.0,5.0,435.9,8.0,256.0,7.9,200.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
234,88.0,6.73,120.0,5000.0,1,90.0,1,50.0,1.0,30.0,32.0,8.0,4.0,2114700.0,16.0,512.0,9.2,219.8,0.0,1,1,1,1,5.4,1.0,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
235,73.0,6.8,120.0,5000.0,1,45.0,1,108.0,1.0,24.0,40.0,8.0,4.0,1055000.0,8.0,128.0,8.9,228.0,0.0,1,1,1,1,5.2,1.0,1.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
236,57.0,6.67,120.0,5000.0,1,67.0,0,108.0,0.0,30.0,16.0,8.0,6.0,684.45,8.0,256.0,8.12,205.0,0.0,1,1,1,1,5.1,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
237,72.0,6.7,120.0,4352.0,1,20.0,1,12.0,1.0,60.0,12.0,6.0,5.0,1438500.0,6.0,128.0,7.65,240.0,0.0,1,1,1,1,5.0,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
238,63.0,6.5,120.0,4500.0,1,25.0,1,12.0,1.0,60.0,32.0,8.0,7.0,802.9,6.0,128.0,8.4,190.0,0.0,1,1,1,1,5.0,1.0,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
239,47.0,6.4,90.0,5000.0,1,15.0,0,64.0,0.0,30.0,20.0,8.0,12.0,684.45,6.0,128.0,8.4,184.0,0.0,1,1,1,1,5.0,1.0,0.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
240,66.0,6.2,120.0,4000.0,1,25.0,1,12.0,1.0,24.0,10.0,8.0,5.0,1007700.0,8.0,128.0,7.9,171.0,0.0,1,1,1,1,5.0,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
241,53.0,6.1,60.0,3110.0,1,20.0,1,12.0,1.0,60.0,12.0,6.0,7.0,950.7,4.0,128.0,8.3,194.0,0.0,1,1,1,1,5.0,1.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
242,11.0,4.0,60.0,1500.0,0,30.0,0,5.0,0.0,30.0,0.3,2.0,45.0,684.45,1.0,8.0,9.9,120.0,0.0,0,0,1,1,4.0,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
245,60.0,6.67,120.0,5110.0,1,45.0,0,50.0,1.0,30.0,20.0,8.0,6.0,475.5,12.0,256.0,7.99,190.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
246,89.0,6.9,120.0,4685.0,1,30.0,1,48.0,1.0,60.0,12.0,6.0,3.0,1949200.0,8.0,512.0,8.25,227.0,0.0,1,1,1,1,5.3,1.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
247,53.0,6.67,120.0,5000.0,1,67.0,0,108.0,0.0,30.0,16.0,8.0,12.0,388.5,8.0,128.0,8.12,202.0,0.0,1,1,1,1,5.1,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
250,71.0,6.7,120.0,4000.0,1,25.0,1,50.0,1.0,60.0,10.0,10.0,4.0,1355800.0,8.0,256.0,6.9,187.0,0.0,1,1,1,1,5.4,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
